Model,Features,ROC_AUC,PR_AUC,Precision_05,Recall_05,F1_05
Market Only,20,0.7829183012109842,0.09648340832090427,0.10599078341013825,0.5609756097560976,0.17829457364341086
Market + TDA,29,0.8365384615384616,0.1546520295217885,0.1736111111111111,0.6097560975609756,0.2702702702702703
Market + TDA + PELT,35,0.8204843936551254,0.1127404080480682,0.1360544217687075,0.4878048780487805,0.2127659574468085
Full Model,36,0.8467934504519871,0.13009313427445773,0.1148936170212766,0.6585365853658537,0.1956521739130435
